id,business_description,domain_suggestions,business_type,complexity,is_edge_case,num_suggestions,keywords,city,instruction_format,edge_case_category
542,coffee shop,"['shopmorning.com', 'brewcoffeeshop.com', 'zonemorn.net', 'topespresso.net', 'espressocafeshop.com', 'beanlatte.com', 'cafe80.com']",coffee_shop,simple,False,7,"['coffee', 'shop']",,"Generate domain name suggestions for the following business:

Business: coffee shop

Domain suggestions:
- shopmorning.com
- brewcoffeeshop.com
- zonemorn.net
- topespresso.net
- espressocafeshop.com
- beanlatte.com
- cafe80.com",
543,catering,"['foodpro.com', 'cateringcatering.com', 'cateringspot.org', 'cateringfood.com', 'catefy.io', 'cat.com']",catering,simple,False,6,['catering'],,"Generate domain name suggestions for the following business:

Business: catering

Domain suggestions:
- foodpro.com
- cateringcatering.com
- cateringspot.org
- cateringfood.com
- catefy.io
- cat.com",
825,"experienced bistro restaurant located in midtown, Chicago, known for our professional and friendly approach","['chicagochef.org', 'plusgril.com', 'restaurantpro.com', 'restaurantplus.net', 'restaurantexpert.com']",restaurant,complex,False,5,"['experienced', 'bistro', 'restaurant', 'midtown', 'chicago', 'known', 'professional', 'friendly', 'approach']",Chicago,"Generate domain name suggestions for the following business:

Business: experienced bistro restaurant located in midtown, Chicago, known for our professional and friendly approach

Domain suggestions:
- chicagochef.org
- plusgril.com
- restaurantpro.com
- restaurantplus.net
- restaurantexpert.com",
812,award-winning real estate agency offering first-time buyers services in the shopping district area of Charlotte,"['servicesestate.net', 'investcharlotte.com', '247winning.co', 'investcharlottehome.com', 'prodistrict.com', 'theaward.net', 'bestwinning.com']",real_estate_agency,complex,False,7,"['award', 'winning', 'real', 'estate', 'agency', 'offering', 'first', 'time', 'buyers', 'services', 'shopping', 'district', 'charlotte']",Charlotte,"Generate domain name suggestions for the following business:

Business: award-winning real estate agency offering first-time buyers services in the shopping district area of Charlotte

Domain suggestions:
- servicesestate.net
- investcharlotte.com
- 247winning.co
- investcharlottehome.com
- prodistrict.com
- theaward.net
- bestwinning.com",
63,"reliable real estate law firm located in old town, San Francisco, dedicated to meeting all your law firm needs","['franciscozone.co', 'sanfranciscoreal.com', 'defensesanfrancisco.com', 'sanfranciscotown.net', 'oldadvocatereal.com']",law_firm,complex,False,5,"['reliable', 'real', 'estate', 'law', 'firm', 'old', 'town', 'san', 'francisco', 'dedicated', 'meeting', 'law', 'firm', 'needs']",San Francisco,"Generate domain name suggestions for the following business:

Business: reliable real estate law firm located in old town, San Francisco, dedicated to meeting all your law firm needs

Domain suggestions:
- franciscozone.co
- sanfranciscoreal.com
- defensesanfrancisco.com
- sanfranciscotown.net
- oldadvocatereal.com",
802,consulting firm specializing in marketing,"['seattlebusi.com', 'expertsfirm.net', 'marketingstrategy.com', 'busin24.net', 'specializingseattle.com', 'bestexperts.com']",consulting_firm,medium,False,6,"['consulting', 'firm', 'specializing', 'marketing']",Seattle,"Generate domain name suggestions for the following business:

Business: consulting firm specializing in marketing

Domain suggestions:
- seattlebusi.com
- expertsfirm.net
- marketingstrategy.com
- busin24.net
- specializingseattle.com
- bestexperts.com",
edge_127,"Established marketing agency offering premium brand strategy services, expert digital marketing solutions, and specialized social media consulting for businesses and individuals throughout New York and surrounding areas, with a dedicated team of professionals committed to delivering exceptional results and exceeding customer expectations","['established.com', 'establishedpro.com', 'bestestablished.com', 'marketing.com']",marketing_agency,edge_case,True,4,,,"Generate domain name suggestions for the following business:

Business: Established marketing agency offering premium brand strategy services, expert digital marketing solutions, and specialized social media consulting for businesses and individuals throughout New York and surrounding areas, with a dedicated team of professionals committed to delivering exceptional results and exceeding customer expectations

Domain suggestions:
- established.com
- establishedpro.com
- bestestablished.com
- marketing.com",excessive_descriptions
748,dental practice specializing in pediatric,"['teethoralsmile.com', 'specializingpractice.com', 'dentalpractice.com', 'teeththe.net', 'thedent.com', 'columbusspec.com']",dental_practice,medium,False,6,"['dental', 'practice', 'specializing', 'pediatric']",Columbus,"Generate domain name suggestions for the following business:

Business: dental practice specializing in pediatric

Domain suggestions:
- teethoralsmile.com
- specializingpractice.com
- dentalpractice.com
- teeththe.net
- thedent.com
- columbusspec.com",
296,coffee shop,"['coffeeshopservice.com', 'cafesolutions.com', 'espressolatte.net']",coffee_shop,simple,False,3,"['coffee', 'shop']",,"Generate domain name suggestions for the following business:

Business: coffee shop

Domain suggestions:
- coffeeshopservice.com
- cafesolutions.com
- espressolatte.net",
edge_118,tech startup specializing in scalable solutions,"['tech.com', 'techpro.com']",tech_startup,edge_case,True,2,,,"Generate domain name suggestions for the following business:

Business: tech startup specializing in scalable solutions

Domain suggestions:
- tech.com
- techpro.com",industry_jargon
